"high","name","time"
"439.5198974609375","SHOP"," 14"
"37.804901123046875","BYND"," 09"
"118.99320220947266","DDOG"," 11"
"118.52649688720703","DDOG"," 13"
"198.60000610351562","NFLX"," 09"
"121.76000213623047","OKTA"," 11"
"28.969999313354492","SNAP"," 13"
"210.72999572753906","FB"," 09"
"211.8800048828125","FB"," 15"
"21.489999771118164","PINS"," 14"
"196.08999633789062","NFLX"," 13"
"196.5998992919922","NFLX"," 14"
"21.40999984741211","PINS"," 11"
"204.80999755859375","FB"," 13"
"205.38999938964844","FB"," 14"
"22.274999618530273","PINS"," 15"
"445.989990234375","SHOP"," 12"
"38.33000183105469","BYND"," 15"
"61.224998474121094","TTD"," 09"
"60.97990036010742","TTD"," 12"
"123.84500122070312","OKTA"," 12"
"199.44979858398438","NFLX"," 11"
"199.4398956298828","NFLX"," 12"
"29.440000534057617","SNAP"," 12"
"29.540000915527344","SNAP"," 15"
"21.219999313354492","PINS"," 13"
"103.06990051269531","SQ"," 09"
"103.27899932861328","SQ"," 10"
"102.43990325927734","SQ"," 11"
"102.9749984741211","SQ"," 14"
"118.30999755859375","DDOG"," 14"
"61.349998474121094","TTD"," 10"
"59.939998626708984","TTD"," 13"
"60.279998779296875","TTD"," 14"
"123.33999633789062","DDOG"," 09"
"210.86000061035156","FB"," 10"
"446.1000061035156","SHOP"," 11"
"105.97000122070312","SQ"," 15"
"440.2049865722656","SHOP"," 13"
"36.56999969482422","BYND"," 13"
"36.95000076293945","BYND"," 14"
"120.70999908447266","DDOG"," 12"
"199.66000366210938","NFLX"," 15"
"21.399999618530273","PINS"," 12"
"60.63999938964844","TTD"," 11"
"37.59000015258789","BYND"," 11"
"122.57890319824219","DDOG"," 10"
"21.364999771118164","PINS"," 10"
"62.119998931884766","TTD"," 15"
"123.31999969482422","OKTA"," 10"
"121.69509887695312","OKTA"," 13"
"121.87999725341797","OKTA"," 14"
"124.00499725341797","OKTA"," 15"
"29.540000915527344","SNAP"," 09"
"29.235000610351562","SNAP"," 11"
"29.014999389648438","SNAP"," 14"
"207.57000732421875","FB"," 12"
"448.4200134277344","SHOP"," 10"
"37.9900016784668","BYND"," 10"
"37.33000183105469","BYND"," 12"
"123.3499984741211","OKTA"," 09"
"200.21409606933594","NFLX"," 10"
"21.239999771118164","PINS"," 09"
"209.42999267578125","FB"," 11"
"451.0","SHOP"," 09"
"29.440000534057617","SNAP"," 10"
"104.21990203857422","SQ"," 12"
"120.6500015258789","DDOG"," 15"
"454.1400146484375","SHOP"," 15"
"102.37000274658203","SQ"," 13"
